[id: 0, inp: 256.4207900698014, out: 512.359664505727, latency: 16689.146624785935, acc: 0, time: 2.26628382201643]
[id: 1, inp: 256.7683601772367, out: 256.16134254944717, latency: 27749.851629135683, acc: 0, time: 1.5108571277042988]
[id: 2, inp: 512.3478855660742, out: 256.37196619424026, latency: 6344.955152967109, acc: 0, time: 2.2662875610964663]
[id: 3, inp: 256.2679139531705, out: 512.3449003365645, latency: 38629.75027261084, acc: 0, time: 2.26628382201643]
[id: 4, inp: 128.7392015989158, out: 128.7296678931376, latency: 20392.469172324483, acc: 0, time: 0.7554285638521494]
[id: 5, inp: 256.8970728561813, out: 512.6840943542074, latency: 11798.572267487849, acc: 0, time: 2.26628382201643]
[id: 6, inp: 512.1866096800231, out: 256.4400114086916, latency: 6829.298581919962, acc: 0, time: 2.423296777627732]
[id: 7, inp: 128.85956378057136, out: 256.4057559498558, latency: 26177.80036133827, acc: 0, time: 1.211648388813866]
[id: 8, inp: 256.30266030938674, out: 512.6357822132433, latency: 35823.82227453735, acc: 0, time: 2.423296777627732]
[id: 9, inp: 512.7935578011229, out: 128.80895031994527, latency: 8841.442988220675, acc: 0, time: 2.0194139813564433]
[id: 10, inp: 512.9182882425723, out: 128.45639086667964, latency: 12211.158705166656, acc: 0, time: 2.0194139813564433]
[id: 11, inp: 512.5160470517059, out: 512.7173746906318, latency: 36784.60662281483, acc: 0, time: 4.405342591997139]
[id: 12, inp: 256.5895787695504, out: 256.3919492898151, latency: 37381.71641038204, acc: 0, time: 2.2026712959985697]
[id: 13, inp: 128.68354495852284, out: 256.17901791122495, latency: 39217.051501519796, acc: 0, time: 1.6520025372289182]
[id: 14, inp: 512.8154048889453, out: 256.927858881365, latency: 14540.002562916321, acc: 0, time: 2.6561109317593914]
[id: 15, inp: 128.66634496982624, out: 512.5052108354942, latency: 20464.102637920856, acc: 0, time: 2.2134257764661593]
[id: 16, inp: 256.6685842002779, out: 256.2422286336783, latency: 25912.405672312332, acc: 0, time: 1.7707406211729275]
[id: 17, inp: 512.9450768555007, out: 128.37114292053369, latency: 36016.34330860837, acc: 0, time: 2.2134257764661593]
[id: 18, inp: 128.11247694751094, out: 256.74547357716307, latency: 13030.730164818691, acc: 0, time: 1.3280554658796957]
[id: 19, inp: 128.7396245720408, out: 256.66831530262914, latency: 22985.87699106189, acc: 0, time: 1.3280554658796957]
[id: 20, inp: 256.28810401848335, out: 128.04329400934324, latency: 8719.934781010088, acc: 0, time: 1.3280554658796957]
[id: 21, inp: 512.7211696113702, out: 512.5058301976808, latency: 41993.30398947492, acc: 0, time: 2.624688456479449]
[id: 22, inp: 512.8665993185859, out: 512.0330584037439, latency: 27081.451426956886, acc: 0, time: 2.624688456479449]
[id: 23, inp: 128.4404555389244, out: 256.4653568291623, latency: 35457.6228699007, acc: 0, time: 0.9842572364097842]
[id: 24, inp: 512.4379859740556, out: 128.8600549446876, latency: 9550.765497202574, acc: 0, time: 1.6404330896096828]
[id: 25, inp: 512.9565993102792, out: 128.63171130363236, latency: 33477.80937378878, acc: 0, time: 1.6404330896096828]
[id: 26, inp: 256.8050844874892, out: 512.8459727112356, latency: 14975.676914142043, acc: 0, time: 1.6805809862293533]
[id: 27, inp: 512.6148747712655, out: 512.1177326739574, latency: 26230.325874496262, acc: 0, time: 2.2407755597256007]
[id: 28, inp: 256.15577914930213, out: 128.36110216141566, latency: 11289.998608825705, acc: 0, time: 0.8402911766795238]
[id: 29, inp: 256.9806374098613, out: 512.3409261557995, latency: 35238.470751865476, acc: 0, time: 1.6805809862293533]
[id: 30, inp: 256.5695782872407, out: 128.67037518676756, latency: 6793.073194764774, acc: 0, time: 0.8402911766795238]
[id: 31, inp: 256.80183585255, out: 512.6275664112255, latency: 27685.222011694445, acc: 0, time: 1.6805809862293533]
[id: 32, inp: 256.20436362988, out: 256.11712016391, latency: 29614.157238334497, acc: 0, time: 1.415853738832734]
[id: 33, inp: 256.01637833120105, out: 256.56941994353656, latency: 36903.47353648007, acc: 0, time: 1.415853738832734]
